"Country","Year","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Guam","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Puerto Rico","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"Burkina Faso","2022","0","0","0","0","8","0","0","0","6","4","22","0","0","0","9","7","0","0","6","0","0","44","6","0","3","0","5","0","10","0","0","40","0","191","4","0","35","0","3","37","0","0","0","0","3","58","0","0","13","23","0","5","0"
"Burma","2022","7","5","166","38","572","158","27","5","5","178","444","0","8","30","353","1306","310","159","322","29","0","254","30","174","738","3","81","5","199","13","6","27","7","565","255","5","110","343","118","202","0","0","25","43","128","925","49","5","46","178","6","562","0"
"Burundi","2022","0","0","54","0","8","15","3","0","0","0","9","0","0","11","10","8","33","0","21","0","46","17","6","15","10","0","3","0","0","5","10","3","4","21","4","8","23","0","6","17","0","5","3","8","18","89","9","0","18","16","0","5","0"
"Cabo Verde","2022","0","0","0","0","4","0","41","0","0","17","5","0","0","0","0","0","0","0","0","0","0","0","1266","0","0","0","0","0","0","0","0","12","0","13","4","0","0","0","0","11","0","260","0","0","0","3","0","0","0","0","0","0","0"
"Cambodia","2022","13","5","36","16","840","34","23","0","0","76","56","0","11","0","41","19","11","11","64","22","9","30","415","30","146","7","17","0","0","16","9","16","0","28","42","0","54","15","40","185","0","38","21","3","33","264","22","0","73","352","0","9","0"
"Cameroon","2022","14","7","64","18","179","35","10","37","80","73","189","0","5","0","111","31","28","26","27","18","4","1175","178","54","131","4","21","0","27","21","7","76","8","131","55","20","232","88","13","100","0","0","9","0","23","713","6","0","159","36","0","26","0"
"Canada","2022","84","31","424","39","2093","231","134","26","48","1234","379","0","83","107","333","87","43","38","43","40","88","144","356","507","170","12","57","51","22","135","77","365","31","866","247","30","213","58","224","281","0","25","163","17","153","1102","113","54","201","1073","16","109","21"
"Central African Republic","2022","0","0","13","0","0","14","0","0","5","10","7","0","0","5","17","0","0","0","0","0","4","19","6","3","0","0","0","0","0","0","0","3","0","11","4","0","3","0","0","9","0","0","0","0","0","9","0","0","5","3","0","0","0"
"Colombia","2022","0","0","3","0","0","0","8","0","0","0","0","0","0","0","0","12","0","0","0","0","0","8","4","0","0","0","0","0","0","0","0","10","0","11","0","0","6","0","0","6","0","0","0","0","0","14","0","0","3","0","0","0","0"
"Congo, Democratic Republic","2022","4","0","24","3","244","19","42","7","9","412","50","0","7","15","40","5","6","4","5","0","6","56","49","14","23","0","8","0","0","24","0","132","3","175","20","0","10","0","35","51","4","5","6","0","9","141","64","0","44","54","0","8","0"
"Congo, Republic","2022","71","14","186","20","8741","165","211","65","41","586","508","11","166","39","732","151","47","77","59","86","16","548","1017","330","210","24","100","9","20","270","41","900","29","5299","247","14","271","74","349","656","15","42","89","6","136","1802","74","8","484","1547","17","114","10"
