"Country","Year","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Guam","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Puerto Rico","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"Bahamas","2021","5","0","0","0","17","0","3","0","0","415","46","0","0","0","7","6","0","0","4","0","0","7","9","4","0","0","4","0","0","0","0","10","0","32","15","0","6","5","0","10","0","0","4","0","8","31","0","0","17","3","0","0","0"
"Bahrain","2021","0","0","0","0","17","0","0","0","0","6","3","0","0","0","5","0","0","0","0","0","0","3","5","0","0","0","0","0","0","0","0","7","0","9","3","0","0","3","0","0","0","0","0","0","0","21","0","0","7","3","0","0","0"
"Bangladesh","2021","9","4","61","12","640","23","213","27","10","329","206","0","0","0","48","18","10","11","11","7","5","231","180","489","38","0","23","4","10","23","4","638","0","5232","64","4","51","27","28","343","0","8","8","0","22","479","0","0","376","70","3","12","0"
"Barbados","2021","0","0","3","0","14","3","25","5","0","57","30","0","0","0","0","8","0","0","5","0","0","27","44","0","0","4","0","0","0","0","0","44","0","265","11","0","3","0","0","37","0","0","0","0","0","18","0","0","13","4","0","0","0"
"Belarus","2021","3","0","7","0","326","42","24","0","4","156","30","0","4","0","95","3","0","0","0","0","0","16","78","14","28","0","5","3","0","9","3","78","0","311","43","0","24","0","18","104","0","0","16","0","7","60","4","0","27","74","0","21","0"
"Belgium","2021","0","0","10","0","97","13","11","0","0","67","16","0","0","3","9","0","0","0","0","7","5","13","21","9","3","0","0","0","0","0","0","22","0","81","5","0","8","3","5","14","0","0","4","0","3","38","3","0","7","12","0","0","0"
"Belize","2021","0","0","17","0","453","6","5","0","0","74","8","0","0","0","72","3","0","4","5","4","0","10","4","5","0","0","11","0","0","14","0","17","0","123","11","0","4","0","0","21","0","0","3","0","8","105","0","0","10","12","0","3","0"
"Benin","2021","0","0","4","0","11","12","3","0","0","12","12","0","0","0","18","11","22","0","0","0","0","33","3","0","7","0","0","0","11","0","0","6","0","56","17","0","11","5","0","32","0","0","0","0","0","18","0","0","19","3","0","0","0"
"Bhutan","2021","0","0","13","0","16","97","0","0","0","0","124","0","0","9","25","0","54","6","180","0","0","39","95","82","53","0","51","0","90","0","44","0","0","257","79","198","1177","0","26","708","0","0","0","69","55","130","10","53","59","64","0","28","0"
"Bolivia","2021","0","0","4","6","142","9","15","0","19","215","9","0","0","0","19","5","0","0","6","7","0","113","32","4","0","3","10","0","0","13","0","49","3","101","11","0","7","3","7","11","3","50","5","0","0","102","13","3","558","9","0","7","0"
"Bosnia and Herzegovina","2021","0","0","59","0","70","13","67","0","5","121","53","0","0","17","84","17","66","0","53","4","3","7","12","41","13","0","99","0","6","14","8","22","0","69","24","10","29","0","9","40","0","0","0","0","12","43","10","5","33","25","0","11","0"
"Brazil","2021","30","5","155","14","1476","145","452","17","29","3088","343","0","69","25","162","72","28","34","32","39","10","214","1661","135","63","7","60","12","12","77","102","831","10","747","207","0","113","40","73","215","8","50","83","3","55","716","160","18","207","175","6","55","0"
"Bulgaria","2021","3","4","56","3","273","45","22","12","11","234","47","0","10","5","402","7","0","7","10","4","9","56","154","18","9","0","34","8","0","80","4","82","0","155","23","0","19","3","9","61","0","4","11","0","8","54","11","0","53","70","0","20","4"
"Burkina Faso","2021","0","0","4","0","6","5","0","0","4","9","12","0","0","0","9","5","0","5","4","0","0","29","3","3","0","0","3","0","24","0","0","35","0","203","6","0","18","0","0","32","0","3","0","0","0","42","0","0","6","8","0","4","0"
"Burma","2021","4","0","129","50","529","111","22","4","0","157","182","0","13","15","207","1082","349","105","268","23","0","251","63","199","722","7","101","7","242","11","5","21","9","501","285","0","131","261","81","179","0","4","37","87","105","983","43","9","48","133","4","303","0"
"Burundi","2021","0","0","41","0","6","3","0","0","0","8","0","0","0","3","11","3","21","3","13","0","48","12","9","6","5","0","5","0","0","0","6","4","0","21","10","9","12","0","4","7","0","0","0","6","12","59","8","0","13","3","0","0","0"
"Cabo Verde","2021","0","0","0","0","0","0","24","0","0","17","3","0","0","0","0","0","0","0","0","0","0","0","1055","0","0","0","0","0","0","0","0","9","0","8","0","0","0","0","0","5","0","213","0","0","0","5","3","0","5","0","0","0","0"
"Cambodia","2021","10","0","27","14","756","18","36","0","0","53","55","0","3","0","36","7","9","8","37","15","13","30","227","11","94","8","8","0","0","12","9","14","3","22","36","3","40","6","26","118","0","45","6","0","16","200","17","0","46","260","0","13","0"
"Cameroon","2021","13","4","54","13","160","36","5","40","58","44","98","0","3","0","58","19","20","19","36","14","0","960","135","48","99","4","21","0","20","13","5","60","12","127","69","35","151","88","7","72","0","0","10","0","21","565","5","0","96","24","6","16","0"
"Canada","2021","34","18","440","29","1987","211","167","13","36","1126","215","0","67","71","246","86","41","45","62","32","65","148","370","466","135","10","79","49","29","102","94","266","31","863","273","36","208","53","165","263","0","22","66","23","127","871","121","48","141","660","8","108","6"
"Central African Republic","2021","0","0","5","0","0","7","0","0","4","4","3","0","0","0","0","0","0","0","0","0","0","12","4","4","0","0","0","0","0","0","0","0","0","7","4","5","6","0","0","8","0","0","0","0","0","6","0","0","5","3","0","0","0"
"Colombia","2021","20","13","161","9","1027","113","407","31","36","6662","457","0","17","23","204","78","18","35","26","52","11","253","539","51","39","17","46","7","13","70","59","1835","29","1955","355","6","78","54","35","289","83","169","100","6","57","1237","65","7","291","138","4","73","3"
"Congo, Democratic Republic","2021","0","0","175","0","105","86","34","0","7","38","97","0","0","44","146","67","181","27","277","5","64","113","78","97","37","0","85","0","16","17","60","8","8","168","205","22","125","8","7","67","0","13","14","19","39","471","27","17","58","94","0","31","0"
"Congo, Republic","2021","0","0","12","0","16","19","3","0","0","5","5","0","0","0","10","0","3","3","4","0","0","11","5","13","0","0","3","0","0","0","0","7","0","28","9","4","5","0","0","7","0","0","0","0","0","36","0","3","4","9","0","0","0"
"Costa Rica","2021","9","0","45","4","219","27","32","5","0","424","56","0","0","4","26","11","7","5","6","11","0","25","43","18","13","0","8","0","0","21","4","321","4","128","101","0","16","4","12","62","6","0","15","0","9","124","13","0","40","15","0","13","0"
"Cote d'Ivoire","2021","0","0","10","0","48","10","9","6","4","27","49","0","0","0","14","11","7","6","10","0","0","142","32","15","18","0","19","0","6","6","0","62","0","311","36","11","42","12","3","49","0","9","7","0","6","106","4","0","48","18","0","7","0"
"Croatia","2021","0","0","14","0","69","7","4","0","0","48","8","0","0","0","24","7","0","0","4","4","0","9","7","7","0","0","7","0","0","8","0","15","0","52","5","0","18","0","5","12","0","0","3","0","0","20","0","0","5","8","0","5","0"
"Cuba","2021","12","4","420","10","480","77","38","12","14","38708","255","0","5","0","57","41","48","37","1064","103","6","49","71","109","14","15","85","0","151","929","7","667","72","370","216","6","58","22","97","177","84","10","36","9","101","2589","20","0","113","51","4","32","0"
"Cyprus","2021","0","0","3","0","17","0","3","0","0","11","0","0","0","0","8","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","7","0","20","0","0","0","0","0","4","0","0","0","0","0","4","0","0","0","0","0","0","0"
"Czechia","2021","4","0","6","0","87","20","5","0","0","100","12","0","6","4","29","4","0","0","4","0","0","11","20","4","0","0","3","0","0","10","0","18","0","48","8","0","8","0","8","7","0","0","5","0","4","19","0","0","12","13","0","0","0"
"Czechoslovakia (former)","2021","0","0","5","0","30","8","4","0","0","26","8","0","0","0","15","0","0","0","0","0","0","3","10","3","0","0","0","0","0","5","5","5","0","24","3","0","3","0","4","8","0","0","0","0","0","5","0","0","3","8","0","3","0"
"Chad","2021","0","0","4","0","3","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","6","0","10","0","3","0","0","0","5","0","0","0","0","0","7","0","0","3","3","0","0","0"
"Chile","2021","7","0","37","4","250","22","38","4","10","446","29","0","5","6","29","17","3","0","8","4","0","51","57","11","14","0","13","0","4","16","6","96","4","171","35","0","14","7","19","28","4","5","0","3","11","98","70","3","42","35","0","12","0"
"China, People's Republic","2021","50","6","308","50","10197","194","257","62","36","674","369","6","170","46","731","199","79","92","75","60","24","585","1057","343","198","32","149","12","46","263","38","939","25","5892","319","25","303","89","304","799","20","49","56","14","112","1629","70","13","503","1212","19","159","4"
"Denmark","2021","0","3","6","0","178","13","8","0","0","61","18","0","0","0","23","7","5","0","0","0","0","8","25","10","10","0","0","0","0","7","3","21","0","39","11","0","5","4","8","10","0","0","3","0","4","44","7","0","19","31","0","4","0"
"Djibouti","2021","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","3","0","0","34","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","3","7","0","5","0"
"Dominica","2021","0","0","0","0","8","0","12","0","0","95","20","0","0","0","0","0","0","0","0","0","0","17","16","0","0","0","3","0","0","0","0","44","0","122","7","0","0","0","0","12","0","0","0","0","0","39","0","0","6","3","0","0","0"
"Dominican Republic","2021","12","34","83","15","142","29","745","43","60","3169","202","0","5","3","71","62","13","11","31","68","12","325","2161","79","27","20","28","0","12","31","138","4231","7","11462","325","3","148","14","17","1933","588","739","38","0","34","298","31","3","162","26","3","34","0"
"Ecuador","2021","3","5","39","10","453","25","421","14","14","1258","85","0","8","4","185","18","13","8","14","16","0","112","116","8","109","3","12","0","7","29","13","1514","11","2667","173","0","42","15","12","175","10","12","21","0","24","210","41","0","62","39","0","19","0"
"Egypt","2021","16","0","67","8","1629","26","65","22","4","504","61","0","5","3","104","55","23","15","19","21","3","110","249","93","39","8","22","0","14","26","20","1136","0","925","115","3","119","13","33","267","0","10","27","0","326","410","4","0","360","111","6","33","0"
"El Salvador","2021","15","6","159","211","6904","121","83","20","186","668","259","0","8","14","82","72","65","58","47","24","7","1491","584","35","73","8","45","0","75","255","17","488","27","1339","334","3","59","34","66","71","9","34","26","12","61","2396","87","0","1327","140","13","26","5"
"Eritrea","2021","0","0","26","0","197","50","3","0","25","12","46","0","0","5","22","25","50","18","11","3","0","85","24","22","33","0","12","0","0","37","0","6","0","36","39","8","56","4","13","29","0","0","0","30","12","196","6","0","97","138","0","4","0"
"Estonia","2021","0","0","4","0","33","5","0","0","0","27","0","0","0","0","5","4","0","0","0","0","0","3","5","0","0","0","0","0","0","0","0","9","0","22","0","0","0","0","6","4","0","0","0","0","3","8","0","0","6","11","0","3","0"
"Ethiopia","2021","5","5","83","0","625","325","16","0","250","65","296","0","0","10","66","38","62","45","39","13","10","973","139","35","595","5","79","0","39","203","0","36","4","124","109","11","189","13","92","123","0","3","3","77","81","644","13","0","833","532","10","29","0"
"Fiji","2021","0","0","15","0","528","0","0","0","0","12","4","0","7","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","4","0","3","0","0","3","0","3","0","21","6","0","0","0","0","0","12","0","0","5","67","0","0","0"
"Finland","2021","0","0","5","0","84","7","7","0","0","45","10","0","0","0","3","0","0","0","0","0","3","3","15","6","8","0","0","0","0","3","3","5","0","34","11","0","3","0","5","6","0","0","0","0","0","26","0","0","14","20","0","6","0"
"France","2021","0","0","50","4","991","63","58","3","35","471","56","0","23","13","70","6","6","3","11","17","8","69","158","44","33","0","12","3","5","40","11","132","8","553","44","0","24","7","36","52","3","10","12","0","14","209","21","6","74","91","0","20","0"
"Gabon","2021","0","0","0","0","4","0","0","0","6","4","8","0","0","0","0","0","0","0","0","0","0","12","0","3","0","0","0","0","3","0","0","4","0","18","4","0","8","0","0","6","0","0","0","0","0","22","0","0","5","0","0","0","0"
"Gambia","2021","0","0","3","0","9","7","6","4","0","7","65","0","0","0","0","4","4","5","20","0","0","71","8","25","20","0","3","0","0","0","0","10","0","230","29","0","42","0","6","15","0","22","3","0","12","53","0","0","11","69","0","36","0"
"Georgia","2021","0","0","3","0","139","10","29","0","4","38","19","0","0","0","29","0","0","0","0","0","0","23","11","9","8","0","5","0","0","0","0","104","0","492","5","0","9","3","5","74","0","0","0","0","0","12","0","0","18","19","0","0","0"
"Germany","2021","14","3","79","10","661","63","54","7","13","368","100","0","25","15","75","27","12","15","31","16","13","65","80","83","31","6","24","7","8","27","12","80","24","254","85","9","44","21","53","87","0","14","31","3","32","228","12","8","96","130","9","38","3"
"Ghana","2021","9","3","50","7","212","92","235","64","12","87","255","0","6","8","167","32","25","20","37","6","0","513","333","33","83","8","47","4","9","13","9","494","3","1293","114","43","338","37","9","171","0","37","18","0","39","393","12","6","503","67","3","19","0"
"Greece","2021","0","0","15","0","149","7","40","3","5","106","12","0","0","0","59","11","0","4","3","0","0","35","88","23","7","0","4","0","0","9","13","52","3","270","12","0","27","0","14","55","0","5","4","0","5","45","0","0","22","19","0","12","0"
"Grenada","2021","0","0","3","0","8","0","5","0","0","38","7","0","0","0","0","5","0","0","0","0","0","18","7","0","0","0","0","0","0","0","0","25","0","431","6","0","0","0","0","18","0","0","0","0","0","27","0","0","12","5","0","0","0"
"Guatemala","2021","20","6","140","52","3924","54","190","27","18","671","164","0","5","14","179","51","41","39","33","29","0","330","344","48","63","12","40","0","77","139","15","357","15","533","123","9","56","53","102","82","4","219","30","24","52","553","90","0","275","80","5","23","3"
"Guinea","2021","3","0","9","0","13","8","15","0","4","0","48","0","0","0","8","13","5","4","3","0","0","51","24","11","20","0","0","0","0","0","3","44","0","484","9","4","67","0","0","68","0","4","0","0","8","22","0","0","20","13","0","6","0"
"Guyana","2021","9","0","8","0","45","4","132","16","12","443","99","0","0","0","9","5","5","6","0","0","0","122","38","0","52","0","6","0","0","7","0","493","0","3480","35","0","16","0","0","83","0","0","6","0","5","52","0","0","40","9","0","0","0"
"Haiti","2021","10","4","29","6","111","18","418","104","4","7030","248","0","7","0","52","79","24","14","40","26","10","266","1651","20","17","0","36","0","6","17","17","944","4","2450","105","17","46","10","9","392","6","74","12","3","29","101","20","0","89","16","0","16","0"
"Honduras","2021","14","3","60","28","940","49","81","8","20","1622","184","0","0","9","88","63","24","34","34","180","5","197","178","42","32","12","46","7","19","51","12","381","11","647","278","5","43","34","22","85","10","27","39","0","68","833","39","0","286","46","4","26","0"
"Hong Kong","2021","4","0","21","0","1055","24","17","3","0","64","17","0","34","0","49","13","0","5","4","0","0","30","91","13","11","0","6","0","0","28","6","79","6","405","24","0","14","6","20","33","0","0","3","0","3","108","22","0","29","128","0","8","0"
"Hungary","2021","0","0","18","0","198","13","27","4","7","224","9","0","5","0","19","3","0","7","5","0","0","12","25","7","7","0","6","0","0","26","5","62","0","112","22","0","25","3","0","22","4","3","11","0","8","52","0","0","19","28","0","17","0"
"Iceland","2021","0","0","5","0","20","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","6","5","0","4","0","0","0","0","0","0","0","0","8","3","0","0","0","3","0","0","0","0","0","0","3","0","0","0","6","5","0","0"
"India","2021","167","8","1080","166","11319","372","975","225","28","1956","1948","0","21","42","2997","621","160","216","244","107","28","1221","1666","1352","555","128","429","13","116","126","177","6602","59","3365","1537","38","1201","212","337","2326","0","57","241","23","404","7028","105","29","1921","2226","41","485","7"
"Indonesia","2021","3","0","35","5","622","47","12","3","3","50","42","0","7","3","18","11","4","7","11","7","3","25","25","16","12","0","3","4","0","18","30","49","3","105","19","0","30","11","20","75","0","0","5","0","10","137","3","0","34","74","0","8","0"
"Iran","2021","12","0","202","18","5992","75","47","3","21","268","184","0","5","17","161","31","9","18","32","17","7","326","192","97","31","0","40","0","9","113","10","115","14","289","97","10","98","52","95","93","0","5","24","4","48","993","31","5","428","339","0","21","4"
"Iraq","2021","5","0","701","4","1247","143","34","0","6","170","60","0","0","45","300","29","27","16","121","22","123","72","209","1140","91","0","81","0","105","21","29","57","27","257","67","24","166","25","92","111","0","9","10","7","145","987","95","12","345","330","3","54","0"
"Ireland","2021","0","3","25","0","292","18","52","0","9","81","24","0","3","3","61","14","5","3","10","0","12","28","224","14","17","0","3","0","5","13","17","72","0","381","27","0","19","0","29","66","0","13","8","0","6","60","6","4","21","49","0","11","0"
"Israel","2021","0","3","49","3","985","44","22","0","11","444","65","0","11","0","82","11","5","12","4","12","0","68","127","28","14","0","20","0","0","70","4","198","5","626","30","0","40","0","19","56","3","0","13","0","23","165","5","5","27","73","3","11","0"
"Italy","2021","4","0","48","3","652","49","97","5","25","504","44","0","18","3","90","26","0","6","13","4","6","54","164","62","8","0","16","5","3","25","8","192","8","600","47","0","44","5","13","105","6","12","13","3","13","126","15","0","52","50","0","13","0"
"Jamaica","2021","54","8","87","9","353","82","1358","84","40","5620","912","0","18","0","139","32","8","14","28","53","39","706","623","72","37","44","67","0","17","39","28","1261","7","6360","287","14","126","22","11","707","0","42","104","8","50","417","8","16","256","62","19","42","7"
"Japan","2021","0","0","35","0","699","22","11","3","9","57","24","10","144","6","37","12","0","6","7","3","0","28","36","19","7","0","7","0","3","24","4","57","0","204","19","0","37","3","25","29","0","0","8","0","7","79","19","0","39","104","0","15","0"
"Jordan","2021","8","0","67","14","445","21","35","5","4","227","32","0","0","0","301","48","8","10","42","68","4","53","60","129","21","17","43","0","8","7","12","179","9","181","62","3","186","16","13","98","3","0","13","0","66","318","10","0","79","30","0","42","0"
"Kazakhstan","2021","0","5","12","0","197","17","8","0","3","91","11","0","0","0","27","8","0","0","5","0","4","20","42","13","12","0","9","0","0","9","3","32","3","203","22","0","14","5","21","35","0","3","7","0","0","74","0","3","50","64","0","6","0"
"Kenya","2021","33","0","135","10","362","71","25","71","9","104","181","0","5","4","27","59","59","81","36","10","18","252","286","65","390","6","110","3","32","19","29","173","11","131","146","24","126","42","29","152","0","4","12","6","51","798","10","3","107","272","7","37","6"
"Korea, South","2021","94","41","137","31","5280","148","89","18","13","186","710","27","166","10","327","59","22","36","35","15","0","527","210","205","35","6","55","4","11","107","15","1349","26","1433","191","9","105","42","121","342","0","21","41","3","55","970","51","6","784","641","5","30","0"
"Kosovo","2021","0","0","17","0","19","4","46","0","0","34","14","0","0","0","15","0","6","0","13","0","0","9","20","44","3","0","0","0","0","0","0","41","0","204","4","0","0","5","0","30","0","0","0","0","3","40","0","0","6","3","0","17","0"
"Kuwait","2021","0","0","22","0","143","4","6","3","8","50","13","0","0","3","40","13","0","5","8","7","11","15","20","35","9","0","4","0","0","3","0","45","0","45","21","0","39","3","7","19","0","0","0","0","11","121","5","0","34","20","0","7","0"
"Kyrgyzstan","2021","0","0","3","0","77","9","3","0","0","42","14","0","0","0","75","0","0","0","4","4","0","7","13","0","5","0","4","0","0","3","0","17","0","106","8","0","11","0","10","43","0","0","5","0","3","29","0","0","14","29","0","0","0"
"Laos","2021","7","18","10","51","394","25","25","0","0","37","71","0","12","0","28","5","52","32","0","3","0","4","26","44","298","0","14","0","6","10","0","5","0","11","75","0","19","19","31","26","0","18","10","3","33","86","11","0","24","74","0","222","0"
"Latvia","2021","0","0","6","0","48","9","5","3","0","32","4","0","0","0","18","0","0","0","3","0","0","8","6","7","6","0","3","0","0","4","0","12","0","48","3","0","0","0","5","5","0","0","0","0","5","10","0","0","10","9","0","8","0"
"Lebanon","2021","0","0","41","0","491","14","21","3","7","157","24","0","0","0","43","9","5","13","11","7","3","28","165","375","24","0","10","3","0","15","16","57","0","144","29","0","73","15","13","40","3","12","4","0","10","166","4","0","71","31","3","11","0"
"Liberia","2021","3","0","40","0","49","25","24","50","6","32","105","0","3","0","20","22","105","0","37","5","0","217","87","36","291","0","22","0","3","0","6","177","0","145","115","121","86","10","10","515","0","148","10","43","23","139","0","0","62","18","0","4","0"
"Libya","2021","0","0","9","0","52","17","9","0","0","20","6","0","0","0","7","0","0","0","3","0","0","0","8","13","0","0","11","0","0","6","0","15","0","18","7","0","15","0","5","15","0","0","0","0","7","38","0","0","29","11","0","6","0"
"Lithuania","2021","0","0","6","0","65","14","9","0","0","84","10","0","0","0","199","5","0","0","0","0","0","12","27","6","3","0","0","0","0","7","0","46","0","57","4","0","5","0","6","20","0","0","5","0","0","11","0","0","13","7","0","4","0"
"Macau","2021","0","0","0","0","51","4","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","8","0","0","0"
"Malawi","2021","0","0","5","4","11","4","3","0","4","4","5","0","0","0","3","10","0","0","0","0","0","15","3","6","0","0","0","0","0","0","0","0","0","8","4","0","3","0","0","0","0","0","0","0","3","12","0","0","5","8","0","3","0"
"Malaysia","2021","0","4","27","3","331","15","8","0","0","36","15","0","7","5","47","8","0","15","7","0","0","12","23","18","27","0","0","0","0","11","3","24","0","197","20","0","13","19","11","17","0","8","0","0","9","148","13","0","29","46","0","22","0"
"Mali","2021","0","0","0","0","5","4","0","0","0","0","15","0","0","0","0","7","4","3","0","3","3","46","6","9","0","0","4","0","0","0","0","13","0","193","12","0","23","0","0","51","0","0","0","0","3","20","5","0","4","6","0","6","0"
"Mauritania","2021","0","0","0","0","0","5","3","0","0","0","0","0","0","0","3","8","0","0","16","10","0","8","0","4","0","0","0","0","0","0","0","5","0","56","0","0","54","0","0","11","0","0","0","0","11","3","0","0","16","6","0","0","0"
"Mauritius","2021","0","0","0","0","8","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","8","3","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","3","0","0","0","0","0","9","0","0","12","3","0","0","0"
"Mexico","2021","234","50","7102","582","45960","1919","246","151","51","3112","1718","0","85","511","4028","923","441","729","304","179","15","335","234","815","585","122","444","40","386","1802","48","704","1413","1660","1494","48","395","985","1673","496","47","52","242","41","507","24621","1030","9","557","2120","20","807","55"
"Moldova","2021","12","14","19","0","251","24","9","4","3","235","32","0","4","8","228","6","4","0","3","13","0","38","87","5","22","3","27","6","0","27","3","46","5","171","60","7","41","4","50","50","0","0","13","4","10","53","7","12","55","158","4","22","6"
"Montenegro","2021","0","0","0","0","15","0","8","0","0","16","0","0","0","0","21","0","0","0","0","0","0","0","3","35","0","0","0","0","0","3","0","14","0","106","0","0","0","0","0","3","0","0","0","0","0","3","0","0","0","0","0","0","0"
"Mongolia","2021","0","0","8","0","202","35","0","0","0","9","4","0","7","0","69","0","0","3","4","0","0","11","7","4","4","0","5","0","0","0","0","3","0","17","3","0","5","0","0","3","0","0","0","0","0","10","13","0","71","31","0","9","0"
"Morocco","2021","8","0","39","6","247","64","80","24","8","362","56","0","3","0","87","22","7","9","23","5","10","81","359","39","15","9","17","0","4","11","19","211","6","360","93","0","88","33","18","168","0","18","16","0","21","177","6","3","242","35","0","19","0"
"Nepal","2021","8","11","71","5","663","265","78","11","11","78","97","0","11","13","103","28","69","32","171","10","7","352","360","82","97","0","61","0","80","11","85","115","12","855","202","61","462","46","36","335","0","14","8","39","57","1231","34","23","561","141","6","61","0"
"Netherlands","2021","0","0","19","3","147","23","11","4","0","106","24","0","4","3","15","11","3","3","4","5","0","12","25","29","12","0","0","7","3","6","5","19","7","61","19","0","14","4","9","20","0","4","0","7","11","72","9","0","27","31","0","7","0"
"New Zealand","2021","0","0","17","0","192","31","13","0","0","31","9","0","16","5","16","4","5","0","4","3","0","15","20","15","12","0","7","7","4","5","4","10","0","62","5","0","6","10","19","10","0","0","0","0","8","32","18","0","20","27","0","3","3"
"Nicaragua","2021","8","4","30","7","976","18","21","5","11","1900","52","0","0","0","18","17","6","9","4","35","0","109","27","18","12","5","9","0","8","33","0","110","6","144","67","0","17","6","16","29","10","7","16","0","16","220","3","3","83","22","5","15","0"
"Niger","2021","0","0","0","0","3","0","5","0","0","0","4","0","0","0","0","14","0","0","0","0","0","15","0","5","0","0","0","0","0","0","0","4","0","33","20","0","3","0","0","26","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nigeria","2021","21","3","149","20","933","59","96","66","63","287","763","0","3","4","392","251","22","34","35","37","9","1296","351","187","143","15","108","5","14","34","24","550","25","1029","233","16","222","87","41","271","0","69","29","9","60","2331","15","6","200","82","13","54","0"
"Norway","2021","3","6","10","0","168","13","17","0","5","73","6","0","11","0","21","0","0","0","4","0","3","8","27","6","21","0","5","4","0","4","9","12","4","46","9","5","4","8","17","14","0","3","3","0","3","69","8","0","24","35","0","13","0"
"Pakistan","2021","16","7","98","17","1388","47","247","55","9","408","258","0","0","6","749","65","30","27","37","46","4","535","254","278","61","5","65","0","14","35","33","862","10","2408","245","0","166","68","30","409","0","33","10","9","45","1926","29","3","910","215","17","75","0"
"Panama","2021","8","4","19","3","130","10","10","4","4","330","66","0","0","0","18","6","3","4","8","7","0","34","28","5","6","9","5","3","4","12","3","33","0","190","39","3","9","7","4","26","14","3","19","0","14","126","6","0","40","17","0","8","0"
"Paraguay","2021","0","0","3","0","24","5","10","0","4","83","6","0","0","0","0","0","0","3","0","0","0","25","7","0","3","0","0","0","0","0","0","36","0","110","5","0","3","0","0","9","4","0","0","0","0","19","5","0","14","3","0","0","0"
"Peru","2021","9","5","96","21","1547","125","339","12","25","2368","194","0","18","22","112","49","16","16","25","12","4","339","133","27","34","11","34","19","10","78","17","1226","13","990","200","0","86","36","48","153","32","23","26","4","50","486","190","12","520","104","12","46","0"
"Poland","2021","6","3","80","0","408","79","483","11","9","356","39","0","10","8","2036","33","9","7","15","0","8","48","125","129","20","4","20","5","3","33","16","827","4","1162","47","3","43","7","24","168","3","18","14","0","18","116","10","6","57","81","3","62","0"
"Portugal","2021","0","0","8","0","161","5","76","0","3","80","10","0","0","0","7","6","0","0","3","0","0","19","288","5","0","0","0","0","4","7","10","426","3","159","15","0","4","0","0","25","0","113","3","0","4","30","5","0","22","14","0","10","0"
"Philippines","2021","141","306","1116","146","19328","323","340","98","55","2161","383","628","2141","88","1586","289","117","173","182","180","56","1168","320","437","207","95","316","55","70","1605","78","1924","217","2500","500","121","410","179","340","527","4","61","202","58","222","3108","171","35","1121","1558","55","252","26"
"Qatar","2021","0","0","6","0","24","4","0","0","0","5","4","0","0","0","6","0","0","0","0","0","0","0","8","8","0","0","0","0","0","0","0","7","0","10","4","0","0","3","4","5","0","0","0","0","0","20","0","0","8","6","0","0","0"
"Romania","2021","8","4","165","7","418","41","61","7","5","366","93","0","8","13","291","20","9","9","16","10","4","60","86","153","23","0","29","5","0","34","23","72","4","253","47","4","73","19","69","71","0","6","15","4","22","160","15","0","87","173","0","21","0"
"Russia","2021","11","24","72","11","1585","159","102","11","15","787","100","0","22","19","231","34","12","20","30","21","8","124","277","80","67","7","43","6","17","63","29","312","8","1190","127","4","107","25","97","262","0","9","37","9","33","311","33","8","184","428","6","56","3"
"Rwanda","2021","0","0","45","0","12","9","3","0","0","8","10","0","0","0","11","14","11","4","33","0","25","11","13","31","4","0","10","0","0","0","12","6","0","24","8","6","29","0","4","9","0","3","0","0","11","88","10","0","9","4","0","3","0"
"Saint Kitts and Nevis","2021","0","0","0","0","3","0","6","0","0","68","12","0","0","0","0","0","0","0","0","0","0","8","3","0","0","0","0","0","0","0","0","13","0","59","0","0","0","0","0","6","3","0","0","0","0","18","0","0","4","0","0","0","0"
"Saint Lucia","2021","0","0","6","0","14","0","52","0","3","113","29","0","0","0","0","4","0","0","0","6","0","22","16","3","0","0","3","0","3","3","0","43","0","352","8","0","0","0","0","19","0","0","0","0","0","41","0","0","6","4","0","0","0"
"Saint Vincent and the Grenadines","2021","0","0","5","0","13","0","15","3","0","33","10","0","0","0","0","3","0","0","0","0","0","10","21","0","0","0","0","0","0","0","0","20","0","273","4","0","0","0","0","17","0","0","0","0","0","6","0","0","9","0","0","0","0"
